Label,Contour_0,Contour_1,Contour_2,Contour_3,Contour_4
Parasitized,16959.0,30.5,41.0,0.0,0.0
Uninfected,10737.5,0.0,0.0,0.0,0.0
Uninfected,15789.0,0.0,0.0,0.0,0.0
Uninfected,12947.5,0.0,0.0,0.0,0.0
Parasitized,11977.0,0.0,0.0,0.0,0.0
Uninfected,10611.5,0.0,0.0,0.0,0.0
Parasitized,10176.5,0.0,0.0,0.0,0.0
Parasitized,10701.5,20.0,0.0,0.0,0.0
Parasitized,8672.5,0.0,0.0,0.0,0.0
Uninfected,13893.0,0.0,0.0,0.0,0.0
Parasitized,371.5,5039.0,0.0,0.0,0.0
Uninfected,10232.5,0.0,0.0,0.0,0.0
Uninfected,12339.5,0.0,0.0,0.0,0.0
Parasitized,10507.0,70.5,0.0,0.0,0.0
Uninfected,11836.5,0.0,0.0,0.0,0.0
Parasitized,13166.0,66.5,0.0,0.0,0.0
Parasitized,12218.0,0.0,0.0,0.0,0.0
Parasitized,12566.0,0.0,0.0,0.0,0.0
Parasitized,9649.5,0.0,0.0,0.0,0.0
Uninfected,12114.0,0.0,0.0,0.0,0.0
Parasitized,10891.5,74.0,0.0,0.0,0.0
Uninfected,8219.0,0.0,0.0,0.0,0.0
Uninfected,11058.5,0.0,0.0,0.0,0.0
Parasitized,21110.0,45.0,0.0,0.0,0.0
Uninfected,14140.0,0.0,0.0,0.0,0.0
Parasitized,11852.5,23.5,0.0,0.0,0.0
Uninfected,10526.0,0.0,0.0,0.0,0.0
Uninfected,14095.0,0.0,0.0,0.0,0.0
Uninfected,8856.5,0.0,0.0,0.0,0.0
Parasitized,10304.5,0.0,0.0,0.0,0.0
Parasitized,15063.0,14.0,10.0,0.0,0.0
Parasitized,6665.0,0.0,0.0,0.0,0.0
Uninfected,12801.0,0.0,0.0,0.0,0.0
Parasitized,12516.5,0.0,0.0,0.0,0.0
Uninfected,15188.5,0.0,0.0,0.0,0.0
Parasitized,15678.5,72.5,0.0,0.0,0.0
Parasitized,13227.0,0.0,0.0,0.0,0.0
Uninfected,11895.0,0.0,0.0,0.0,0.0
Parasitized,14139.0,85.0,0.0,0.0,0.0
Parasitized,8901.0,37.5,0.0,0.0,0.0
Parasitized,18472.5,0.0,0.0,0.0,0.0
Uninfected,11110.0,0.0,0.0,0.0,0.0
Uninfected,13779.0,0.0,0.0,0.0,0.0
Parasitized,16466.5,0.0,0.0,0.0,0.0
Parasitized,17047.5,0.0,0.0,0.0,0.0
Uninfected,14188.5,0.0,0.0,0.0,0.0
Parasitized,10772.5,0.0,0.0,0.0,0.0
Parasitized,13392.0,7.0,0.0,0.0,0.0
Parasitized,13044.5,0.0,0.0,0.0,0.0
Uninfected,8124.5,0.0,0.0,0.0,0.0
Uninfected,15530.0,0.0,0.0,0.0,0.0
Parasitized,11488.0,0.0,0.0,0.0,0.0
Parasitized,22187.5,77.0,0.0,0.0,0.0
Parasitized,12160.5,56.5,0.0,0.0,0.0
Uninfected,16459.5,0.0,0.0,0.0,0.0
Uninfected,13964.5,0.0,0.0,0.0,0.0
Uninfected,14571.0,0.0,0.0,0.0,0.0
Uninfected,12553.5,0.0,0.0,0.0,0.0
Parasitized,16975.5,79.5,60.5,0.0,0.0
Uninfected,13695.0,0.0,0.0,0.0,0.0
Parasitized,15456.0,84.0,0.0,0.0,0.0
Uninfected,12368.0,0.0,0.0,0.0,0.0
Parasitized,14766.5,56.0,2.0,0.0,0.0
Parasitized,15472.0,47.0,0.0,0.0,0.0
Uninfected,13794.5,0.0,0.0,0.0,0.0
Parasitized,10019.5,0.0,0.0,0.0,0.0
Uninfected,15255.5,0.0,0.0,0.0,0.0
Parasitized,8255.0,0.0,0.0,0.0,0.0
Parasitized,14914.5,10.0,0.0,0.0,0.0
Parasitized,14501.5,10.0,0.0,0.0,0.0
Parasitized,14733.0,0.0,0.0,0.0,0.0
Parasitized,11203.0,0.0,0.0,0.0,0.0
Parasitized,5057.5,0.0,0.0,0.0,0.0
Uninfected,11189.5,0.0,0.0,0.0,0.0
Uninfected,12451.5,0.0,0.0,0.0,0.0
Uninfected,10363.5,0.0,0.0,0.0,0.0
Parasitized,10819.5,55.5,0.0,0.0,0.0
Uninfected,14713.5,0.0,0.0,0.0,0.0
Uninfected,11105.0,0.0,0.0,0.0,0.0
Uninfected,10217.5,0.0,0.0,0.0,0.0
Parasitized,13592.5,0.0,0.0,0.0,0.0
Uninfected,14899.0,0.0,0.0,0.0,0.0
Parasitized,11551.0,2.0,7.0,0.0,0.0
Uninfected,8423.0,0.0,0.0,0.0,0.0
Parasitized,10372.5,0.0,0.0,0.0,0.0
Uninfected,12012.5,0.0,0.0,0.0,0.0
Parasitized,13879.5,66.0,74.0,0.0,0.0
Uninfected,14896.0,0.0,0.0,0.0,0.0
Uninfected,9293.5,0.0,0.0,0.0,0.0
